Paper_ID,Title,Year,Architecture_Norm,Application_Norm,TR_LMIC,TR_LowField,TR_Code,TR_ClinicalVal,TR_Resource,TR_Score
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020,Hybrid,Brain,0,0,0,0,0,0
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024,U-Net,Brain,0,0,0,0,0,0
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,CNN,General,0,0,0,1,1,2
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,CNN,Musculoskeletal,0,0,0,1,0,1
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024,Hybrid,Brain,0,0,0,0,1,1
6,A deep learning approach for brain tumor classification using MRI images,2022,Hybrid,Brain,0,0,0,0,1,1
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,CNN,Cardiac,0,0,0,1,0,1
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022,U-Net,Cardiac,0,0,0,1,0,1
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,CNN,Abdominal,1,0,0,1,1,3
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020,CNN,Flow,0,0,0,0,1,1
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023,GAN,Brain,1,1,1,1,1,5
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,Diffusion,Brain,0,0,0,0,0,0
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,U-Net,Abdominal,0,0,1,0,1,2
14,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024,CNN,Brain,1,0,0,0,1,2
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,CNN,Musculoskeletal,0,0,0,0,1,1
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,CNN,Other,0,0,0,1,1,2
17,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021,CNN,Brain,0,0,0,0,0,0
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,CNN,Flow,0,0,1,1,1,3
19,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023,CNN,Brain,0,0,0,0,0,0
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,U-Net,General,1,1,0,0,1,3
21,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023,CNN,Musculoskeletal,0,0,0,0,0,0
22,Digital Image Enhancement using Conventional Neural Network,2023,CNN,General,0,1,1,0,0,2
23,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,2021,Hybrid,Brain,0,0,0,0,1,1
24,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023,Hybrid,Brain,1,1,0,1,1,4
25,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,U-Net,Musculoskeletal,1,1,0,0,1,3
26,Multi-Contrast Super-Resolution MRI Through a Progressive Network,2020,Hybrid,Brain,0,0,0,0,0,0
27,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,2021,GAN,General,0,0,0,0,0,0
28,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024,U-Net,Cardiac,0,0,0,1,1,2
29,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021,U-Net,Brain,0,0,0,1,1,2
30,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021,Other,Brain,1,1,0,1,0,3
31,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,2024,U-Net,Musculoskeletal,0,1,0,1,1,3
32,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025,GAN,Brain,1,1,1,1,1,5
33,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,U-Net,Brain,1,1,1,1,1,5
34,Deep learning-based single image super-resolution for low-field MR brain images,2022,CNN,Brain,1,1,0,0,1,3
35,Deep learning for fast low-field MRI acquisitions,2022,U-Net,Musculoskeletal,1,1,0,1,1,4
36,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,2023,CNN,Prostate,0,0,0,1,1,2
37,Super resolution using sparse sampling at portable ultra-low field MR,2024,Non-AI,Brain,1,1,0,1,1,4
38,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,CNN,Pediatric,1,1,0,1,1,4
39,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,GAN,Musculoskeletal,0,0,0,0,0,0
40,SRflow: Deep learning based super-resolution of 4D-flow MRI data,2022,CNN,Flow,0,0,0,0,1,1
41,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,2021,CNN,Brain,1,0,0,0,1,2
42,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021,Transformer,Brain,0,0,0,0,1,1
43,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,2021,CNN,General,1,1,0,0,1,3
44,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,2023,CNN,Brain,1,0,0,0,0,1
45,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,2023,CNN,Brain,1,0,0,0,1,2
46,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,2021,CNN,Brain,1,0,0,0,1,2
47,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,2023,CNN,Brain,1,0,0,0,1,2
48,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,2020,U-Net,Cardiac,0,0,0,0,1,1
